PassengerId,Fare,Survived
1142,27.75,1
1143,7.925,0
1144,136.7792,0
1145,9.325,0
1146,9.5,0
1147,7.55,0
1148,7.75,0
1149,8.05,0
1150,13,1
1151,7.775,0
1152,17.4,0
1153,7.8542,0
1154,23,1
1155,12.1833,1
1156,12.7375,0
1157,7.8958,0
1158,0,0
1159,7.55,0
1160,8.05,1
1161,8.6625,0
1162,75.2417,0
1163,7.75,0
1164,136.7792,1
1165,15.5,1
1166,7.225,0
1167,26,1
1168,10.5,0
1169,26,0
1170,21,0
1171,10.5,0
1172,8.6625,1
1173,13.775,0
1174,7.75,1
1175,15.2458,1
1176,20.2125,1
1177,7.25,0
1178,7.25,0
1179,82.2667,0
1180,7.2292,0
1181,8.05,0
1182,39.6,0
1183,6.95,1
1184,7.2292,0
1185,81.8583,0
1186,9.5,0
1187,7.8958,0
1188,41.5792,1
1189,21.6792,0
1190,45.5,0
1191,7.8542,0
1192,7.775,0
1193,15.0458,0
1194,21,0
1195,8.6625,0
1196,7.75,1
1197,26.55,1
1198,151.55,0
1199,9.35,0
1200,93.5,0
1201,14.1083,1
1202,8.6625,0
1203,7.225,0
1204,7.575,0
1205,7.75,1
1206,135.6333,1
1207,7.7333,1
1208,146.5208,0
1209,10.5,0
1210,7.8542,0
1211,31.5,0
1212,7.775,0
1213,7.2292,0
1214,13,0
1215,26.55,0
1216,211.3375,1
1217,7.05,0
1218,39,1
1219,79.2,0
1220,26,0
1221,13,0
1222,36.75,1
1223,29.7,0
1224,7.225,0
1225,15.7417,1
1226,7.8958,0
1227,26,0
1228,13,0
1229,7.2292,0
1230,31.5,0
1231,7.2292,0
1232,10.5,0
1233,7.5792,0
1234,69.55,0
1235,512.3292,1
1236,14.5,0
1237,7.65,1
1238,13,0
1239,7.2292,1
1240,13.5,0
1241,21,1
1242,63.3583,1
1243,10.5,0
1244,73.5,0
1245,65,0
1246,20.575,1
1247,26,0
1248,51.4792,1
1249,7.8792,0
1250,7.75,0
1251,15.55,1
1252,69.55,0
1253,37.0042,1
1254,21,1
1255,8.6625,0
1256,55.4417,1
1257,69.55,1
1258,14.4583,0
1259,39.6875,1
1260,59.4,1
1261,13.8583,0
1262,11.5,0
1263,134.5,1
1264,0,0
1265,13,0
1266,81.8583,1
1267,262.375,1
1268,8.6625,1
1269,11.5,0
1270,50,0
1271,31.3875,0
1272,7.75,0
1273,7.8792,0
1274,14.5,1
1275,16.1,1
1276,12.875,0
1277,65,1
1278,7.775,0
1279,13,0
1280,7.75,0
1281,21.075,0
1282,93.5,0
1283,39.4,1
1284,20.25,0
1285,10.5,0
1286,22.025,0
1287,60,1
1288,7.25,0
1289,79.2,1
1290,7.775,0
1291,7.7333,0
1292,164.8667,1
1293,21,0
1294,59.4,1
1295,47.1,0
1296,27.7208,0
1297,13.8625,0
1298,10.5,0
1299,211.5,0
